nr,url,heimilisfang,tegund,nidurstada,spurning
38930 (01.11.980.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN038930,Austurbakki 2,bílastæðahús (einnig BNO40037),Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til þess að byggja 1. áfanga  steinsteypts tveggja hæða neðanjarðar bílahús fyrir samtals 545 bíla upp að kjallara Tónlistar- og ráðstefnuhússins á lóð nr. 2 við Austurbakka. Bréf umsækjenda dags. 12. september 2008, bréf hönnuðar dags. 8. júní 2009 og brunaskýrsla Verkfræðistofunnar Mannvit dags. sept. 2008 og júní 2009 fylgja erindinu. Stærð : Bílahús neðri kjallari (K2), anddyri að tónlistarhúsi og tæknirými 9344,5 ferm., kjallari (K1) 9358,3 ferm., samtals 18702,8 ferm., 73289,6 rúmm. Aðkoma sorpbíls (B-rými) kjallari 307,4 ferm., 1137,4  rúmm. Gjald kr. 7.300 + 7.700 + 5.730.879"
40102 (04.67.07-.-),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040102,Austurberg 28-38,38 - svalalokun,Frestað. Vísað til athugasemda eldvarnaeftirlits.,"Sótt er um leyfi til að setja upp svalaskýli úr perlugleri með 2-4 mm raufum á milli glerflata á 2. og 3. hæð fjölbýlishússins  nr. 38 á lóð nr. 28-38 við Austurberg. Samþykki meðeigenda dags. 23. apríl 2009 fylgir erindi ásamt úttektarskýrslu hönnuðar á brunavörnum dags. 18. júní 2009. Stærðir: 105,5 ferm., 269,0 rúmm. Gjald kr. 7.700 + 20.713"
39759 (01.38.110.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039759,Austurbrún 6,fjölgun eigna,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi.,Sótt er um leyfi til að skrá fjölbýlishús úr einni eign yfir í 71 eign fjöleignahússins á lóð nr. 6 við Austurbrún. Gjald kr. 7.700 + 7.700
40082 (01.43.800.4),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040082,Álfheimar 49,endurnýjun bn038042,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Áskilin lokaúttekt byggingarfulltrúa. Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi til að endurnýja byggingarleyfið BN038042 sem er að breyta nýtingu og starfsemi þannig að bætt er við aðstöðu til sölu á upphituðum mat, grilli, djúpsteikningarpotti og borði með stólum  í húsi á lóð nr. 49 við Álfheima. Gjald kr. 7.700"
40107 (04.06.510.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040107,Bíldshöfði 20,stækkun geymsla í kallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka og hólfa niður geymslur í kjallara á norðurhlið, undir palli 1. hæðar á atvinnuhúsinu á lóð nr. 20 við Bíldshöfða. Stækkun: XXX ferm XXX rúmm. Gjald kr. 7.700 + XXX"
40105 (01.21.910.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040105,Borgartún  35-37,37 - varaaflstöð kjallara,Frestað. Vísað til athugasemda á umsóknarblaði.,"Sótt er um leyfi til að stækka kjallara til að koma fyrir varaaflstöð, setja út- og innblásturstúðu og olíuáfyllingsstút við vesturhlið hússins á lóð nr. 35-37 við Borgartún Erindinu fylgir upplýsingar um varaaflstöðina. Stækkun: XXX ferm. XXX rúmm.  Gjald kr. 7.700 + XXX"
40078 (01.22.100.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040078,Borgartún 18,reyndarteikningar,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi fyrir reyndarteikningum á atvinnuhúsnæðinu á lóð nr. 18 við Borgartún.  Gjald kr. 7.700
39982 (01.21.900.1),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN039982,Borgartún 27 og 31,breytingar á innra skipulagi 31,Frestað. Lagfæra skráningartöflu.,Sótt er um leyfi fyrir reyndarteikningum sem felst í ýmsum breytingum á innra skipulagi í atvinnuhúsnæðinu á lóð nr. 31 við Borgartún. Bréf frá eiganda dags. 18. maí 2009 fylgir erindinu. Gjald kr. 7.700
40099 (01.22.000.2),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040099,Borgartún 6,sótt um leyfi fyrir áður gerðum breytingum,Samþykkt.  Samræmist ákvæðum laga nr. 73/1997. Skilyrt er að eignaskiptayfirlýsingu vegna breytinga í húsinu sé þinglýst til þess að samþykktin öðlist gildi. Áskilin lokaúttekt byggingarfulltrúa.  Áskilið samþykki heilbrigðiseftirlits. Áskilið samþykki Vinnueftirlits ríkisins.,"Sótt er um leyfi fyrir áður gerðum innanhúss breytingum á kjallara, 1. hæð og 3. hæð. sem fela í sér að koma fyrir samkomusal, skrifstofurými, snyrtistofu og leiðréttingar á danssölum í atvinnuhúsi á lóð nr. 6 við Borgartún. Bréf frá hönnuði dags. 22. júní 2009 fylgir erindinu. Brunahönnuðarskýrsla dags 20. júlí 2009 fylgir erindinu Gjald kr. 7.700"
40112 (01.22.010.7),http://gamli.rvk.is/vefur/owa/edutils.parse_page?nafn=BN040112,Borgartún 8-16,innrétta skrifstofu,Frestað. Vísað til athugasemda á umsóknarblaði.,Sótt er um leyfi til að innrétta skrifstofur á 16. hæð í atvinnuhússinu Höfðatún 2 á lóð nr. 8-16 við Borgartún. Gjald kr. 7.700
